Hodnoty pro confidence interval,,,,,,,,,,,,,,Doba,,,,,,,,,,,,,,,,,,,,
z,,"mam 5 stupnu volnosti  a confidence pro 0,975 -> tj. interval 0,95",,,,Nasobitel,100,,,,,,,"pro 25 embedingu, 1 iterace trvala 25 minut",,,,,,,,,,,,,,,,,,,,
2.2622,,,,,,,,,,,,,,,,5 iteraci,,,,,,,,,,,,,,,,,,
Pocet examplu,,,,,,,,,,,,,,tj. 6 * 25,150,750,"cca 12,5 hodin",,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,avg acc/rank,w/o Italian acc/rank,english,german,latin,swedish,italian,reverse emb,emb_type,emb_dim,window,iter,use bin thld,use nearest neigh,compare method,k,Type,avg acc/rank,w/o Italian acc/rank,english,german,latin,swedish,italian,reverse emb,emb_type,emb_dim,window,iter,use bin thld,use nearest neigh,compare method,k
,Avg:,59.260,57.790,56.790,54.980,54.250,65.150,88.340,,,,,,,,,,Avg:,,35.740,28.720,37.820,34.130,42.240,,,,,,,,,,
,Std:,1.791,1.662,4.372,2.960,4.750,4.749,1.680,,,,,,,,,,Std:,,2.406,3.807,2.598,6.243,5.860,,,,,,,,,,
,Confidence:,1.281,1.189,3.128,2.118,3.398,3.398,1.202,,,,,,,,,,Confidence:,,1.721,2.723,1.859,4.466,4.192,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"repeat-1-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.641,0.615,0.595,0.625,0.5,0.742,0.889,0,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.418,0.352,0.469,0.223,0.628,,0,fasttext,50,5,5,,,cosine,1
"repeat-2-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.631,0.611,0.568,0.667,0.5,0.71,0.833,0,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.394,0.348,0.445,0.236,0.549,,0,fasttext,50,5,5,,,cosine,1
"repeat-3-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.628,0.616,0.622,0.688,0.475,0.677,0.889,0,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.437,0.356,0.475,0.317,0.601,,0,fasttext,50,5,5,,,cosine,1
"repeat-4-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.61,0.61,0.568,0.708,0.55,0.613,0.889,0,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.4,0.418,0.435,0.263,0.482,,0,fasttext,50,5,5,,,cosine,1
"repeat-5-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.622,0.608,0.568,0.688,0.5,0.677,0.889,0,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.432,0.352,0.496,0.286,0.593,,0,fasttext,50,5,5,,,cosine,1
"repeat-6-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.64,0.639,0.622,0.688,0.6,0.645,0.889,0,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.425,0.309,0.516,0.374,0.501,,0,fasttext,50,5,5,,,cosine,1
"repeat-7-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.635,0.616,0.541,0.688,0.525,0.71,0.889,0,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.42,0.297,0.473,0.331,0.579,,0,fasttext,50,5,5,,,cosine,1
"repeat-8-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.615,0.599,0.595,0.625,0.5,0.677,0.889,0,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.429,0.282,0.501,0.354,0.58,,0,fasttext,50,5,5,,,cosine,1
"repeat-9-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.645,0.629,0.568,0.688,0.55,0.71,0.833,0,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.485,0.405,0.451,0.396,0.688,,0,fasttext,50,5,5,,,cosine,1
"repeat-10-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.644,0.636,0.703,0.688,0.475,0.677,0.833,0,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.422,0.42,0.415,0.331,0.52,,0,fasttext,50,5,5,,,cosine,1
,Avg:,63.110,61.790,59.500,67.530,51.750,68.380,87.220,,,,,,,,,,Avg:,,42.620,35.390,46.760,31.110,57.210,,,,,,,,,,
,Std:,1.161,1.215,4.354,2.677,3.717,3.486,2.566,,,,,,,,,,Std:,,2.337,4.643,2.994,5.493,5.862,,,,,,,,,,
,Confidence:,0.831,0.869,3.114,1.915,2.659,2.494,1.836,,,,,,,,,,Confidence:,,1.672,3.322,2.142,3.930,4.193,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
