Hodnoty pro confidence interval,,,,,,,,,,,,,,Doba,,,,,,,,,,,,,,,,,,,,
z,,"mam 5 stupnu volnosti  a confidence pro 0,975 -> tj. interval 0,95",,,,Nasobitel,100,,,,,,,"pro 25 embedingu, 1 iterace trvala 25 minut",,,,,,,,,,,,,,,,,,,,
2.2622,,,,,,,,,,,,,,,,5 iteraci,,,,,,,,,,,,,,,,,,
Pocet examplu,,,,,,,,,,,,,,tj. 6 * 25,150,750,"cca 12,5 hodin",,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,avg acc/rank,w/o Italian acc/rank,english,german,latin,swedish,italian,reverse emb,emb_type,emb_dim,window,iter,use bin thld,use nearest neigh,compare method,k,Type,avg acc/rank,w/o Italian acc/rank,english,german,latin,swedish,italian,reverse emb,emb_type,emb_dim,window,iter,use bin thld,use nearest neigh,compare method,k
"repeat-6-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=100, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.634,0.623,0.568,0.646,0.6,0.677,0.889,0,fasttext,100,5,5,1,0,cosine,1,Rank overview,,0.453,0.438,0.493,0.35,0.531,,0,fasttext,100,5,5,,,cosine,1
"repeat-7-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=100, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.623,0.601,0.568,0.625,0.5,0.71,0.889,0,fasttext,100,5,5,1,0,cosine,1,Rank overview,,0.464,0.377,0.477,0.442,0.561,,0,fasttext,100,5,5,,,cosine,1
"repeat-8-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=100, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.631,0.627,0.622,0.667,0.575,0.645,0.889,0,fasttext,100,5,5,1,0,cosine,1,Rank overview,,0.466,0.393,0.517,0.365,0.59,,0,fasttext,100,5,5,,,cosine,1
"repeat-9-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=100, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.63,0.618,0.541,0.604,0.65,0.677,0.889,0,fasttext,100,5,5,1,0,cosine,1,Rank overview,,0.44,0.399,0.454,0.355,0.552,,0,fasttext,100,5,5,,,cosine,1
"repeat-10-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=100, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.59,0.584,0.568,0.604,0.55,0.613,0.889,0,fasttext,100,5,5,1,0,cosine,1,Rank overview,,0.47,0.431,0.447,0.417,0.586,,0,fasttext,100,5,5,,,cosine,1
,Avg:,63.290,62.080,59.500,62.710,58.000,68.050,87.780,,,,,,,,,,Avg:,,45.000,41.450,47.310,34.540,56.730,,,,,,,,,,
,Std:,2.401,2.197,4.183,1.981,5.339,4.666,2.240,,,,,,,,,,Std:,,1.782,3.209,2.164,6.670,2.365,,,,,,,,,,
,Confidence:,1.718,1.572,2.992,1.417,3.819,3.338,1.602,,,,,,,,,,Confidence:,,1.275,2.296,1.548,4.771,1.692,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"repeat-1-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=150, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.603,0.601,0.595,0.646,0.55,0.613,0.833,0,fasttext,150,5,5,1,0,cosine,1,Rank overview,,0.418,0.327,0.5,0.249,0.596,,0,fasttext,150,5,5,,,cosine,1
"repeat-2-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=150, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.63,0.626,0.568,0.667,0.625,0.645,0.833,0,fasttext,150,5,5,1,0,cosine,1,Rank overview,,0.425,0.38,0.474,0.259,0.586,,0,fasttext,150,5,5,,,cosine,1
"repeat-3-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=150, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.653,0.638,0.676,0.667,0.5,0.71,0.889,0,fasttext,150,5,5,1,0,cosine,1,Rank overview,,0.438,0.477,0.53,0.175,0.568,,0,fasttext,150,5,5,,,cosine,1
"repeat-4-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=150, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.619,0.605,0.568,0.625,0.55,0.677,0.889,0,fasttext,150,5,5,1,0,cosine,1,Rank overview,,0.408,0.468,0.507,0.179,0.476,,0,fasttext,150,5,5,,,cosine,1
"repeat-5-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=150, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.634,0.623,0.595,0.646,0.575,0.677,0.833,0,fasttext,150,5,5,1,0,cosine,1,Rank overview,,0.498,0.489,0.495,0.39,0.617,,0,fasttext,150,5,5,,,cosine,1
"repeat-6-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=150, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.626,0.621,0.622,0.667,0.55,0.645,0.889,0,fasttext,150,5,5,1,0,cosine,1,Rank overview,,0.461,0.421,0.494,0.3,0.629,,0,fasttext,150,5,5,,,cosine,1
"repeat-7-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=150, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.663,0.644,0.541,0.667,0.625,0.742,0.833,0,fasttext,150,5,5,1,0,cosine,1,Rank overview,,0.475,0.467,0.514,0.304,0.613,,0,fasttext,150,5,5,,,cosine,1
"repeat-8-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=150, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.624,0.619,0.568,0.688,0.575,0.645,0.833,0,fasttext,150,5,5,1,0,cosine,1,Rank overview,,0.478,0.408,0.535,0.338,0.629,,0,fasttext,150,5,5,,,cosine,1
"repeat-9-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=150, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.632,0.628,0.676,0.667,0.525,0.645,0.833,0,fasttext,150,5,5,1,0,cosine,1,Rank overview,,0.468,0.528,0.53,0.258,0.558,,0,fasttext,150,5,5,,,cosine,1
"repeat-10-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=150, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, mean_centering=True, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=False, transformation='cca-java', unit_vectors=True, use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.65,0.635,0.568,0.688,0.575,0.71,0.833,0,fasttext,150,5,5,1,0,cosine,1,Rank overview,,0.507,0.456,0.552,0.439,0.58,,0,fasttext,150,5,5,,,cosine,1
,Avg:,63.340,62.400,59.770,66.280,56.500,67.090,84.980,,,,,,,,,,Avg:,,45.760,44.210,51.310,28.910,58.520,,,,,,,,,,
,Std:,1.681,1.289,4.428,1.831,3.742,3.771,2.566,,,,,,,,,,Std:,,3.223,5.567,2.235,8.000,4.327,,,,,,,,,,
,Confidence:,1.202,0.922,3.168,1.310,2.677,2.698,1.836,,,,,,,,,,Confidence:,,2.305,3.983,1.599,5.723,3.096,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reversed embeddings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Avg:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Std:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Std:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,Confidence:,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,Confidence:,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"repeat-1-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.669,0.659,0.541,0.833,0.55,0.71,0.833,1,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.407,0.225,0.734,0.144,0.524,,1,fasttext,50,5,5,,,cosine,1
"repeat-2-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.657,0.652,0.622,0.708,0.6,0.677,0.833,1,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.393,0.389,0.659,0.069,0.455,,1,fasttext,50,5,5,,,cosine,1
"repeat-3-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.657,0.66,0.703,0.792,0.5,0.645,0.833,1,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.415,0.364,0.688,0.184,0.424,,1,fasttext,50,5,5,,,cosine,1
"repeat-4-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.635,0.633,0.595,0.792,0.5,0.645,0.833,1,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.411,0.223,0.704,0.215,0.501,,1,fasttext,50,5,5,,,cosine,1
"repeat-5-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.66,0.647,0.649,0.729,0.5,0.71,0.833,1,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.382,0.294,0.666,0.066,0.502,,1,fasttext,50,5,5,,,cosine,1
"repeat-6-:Namespace(compare_method='cosine', emb_algorithm='skipgram', emb_dim=50, emb_min_count=5, emb_type='fasttext', general_folder='meta-cca-5k', iter=5, k=1, max_links=5000, multi_process=0, num_repeat=10, num_workers=8, reverse_embedding=True, transformation='cca-java', use_bin_thld=True, use_indexer=False, use_nearest_neig=False, we_words_limit=-1, window=5)",Binary overview,0.664,0.661,0.622,0.771,0.575,0.677,0.833,1,fasttext,50,5,5,1,0,cosine,1,Rank overview,,0.41,0.313,0.675,0.19,0.462,,1,fasttext,50,5,5,,,cosine,1
